id	Amplitude	ContamPct	KSLabel	amplitude	channel	depth	firing_rate	group	n_spikes	shank
323	49.40000000	6.30000000	good	2.34369755	109	1100.00000000	0.5 spk/s		2808	0
324	36.90000000	0.00000000	good	2.71013570	119	1200.00000000	0.2 spk/s		1427	0
325	23.30000000	100.00000000	mua	1.43285179	212	2140.00000000	0.1 spk/s		389	0
326	94.80000000	100.00000000	mua	2.56131577	10	120.00000000	0.1 spk/s		657	0
327	188.90000000	0.00000000	good	2.86195469	13	140.00000000	0.2 spk/s		992	0
328	40.90000000	0.40000000	good	2.85980296	23	240.00000000	2.1 spk/s	good	12378	0
329	293.50000000	0.00000000	good	3.12017870	51	520.00000000	0.1 spk/s		569	0
330	31.60000000	100.00000000	mua	2.55702114	96	980.00000000	0.1 spk/s		501	0
331	35.70000000	4.60000000	good	2.04428959	105	1060.00000000	0.5 spk/s		2887	0
332	24.70000000	0.00000000	good	2.29736042	95	960.00000000	0.2 spk/s		1279	0
333	33.80000000	0.00000000	good	2.57818937	96	980.00000000	0.1 spk/s		311	0
334	80.90000000	0.00000000	good	2.88251424	29	300.00000000	0.1 spk/s		826	0
335	116.80000000	0.00000000	good	2.33818936	2	40.00000000	0.1 spk/s	good	323	0
336	75.10000000	0.00000000	good	2.99583626	16	180.00000000	0.1 spk/s		370	0
337	129.70000000	0.00000000	good	2.23042035	52	540.00000000	0.1 spk/s		817	0
338	96.50000000	100.00000000	mua	3.22024488	29	300.00000000	0.1 spk/s		349	0
339	227.10000000	0.00000000	good	3.04912877	28	300.00000000	0.1 spk/s		388	0
340	43.80000000	100.00000000	mua	2.96455002	33	340.00000000	3.5 spk/s	good	21144	0
341	43.80000000	100.00000000	mua	2.96455002	33	340.00000000	0.6 spk/s		3733	0
342	73.50000000	9.00000000	good	4.27300072	36	380.00000000	8.0 spk/s	good	48261	0
343	73.50000000	9.00000000	good	4.27300072	36	380.00000000	1.2 spk/s		6978	0
344	43.70000000	9.60000000	good	3.40219188	37	380.00000000	5.1 spk/s	good	30875	0
345	43.70000000	9.60000000	good	3.40219188	37	380.00000000	0.6 spk/s		3574	0
346	38.00000000	9.80000000	good	3.21165991	37	380.00000000	9.7 spk/s	good	58332	0
347	38.00000000	9.80000000	good	3.21165991	37	380.00000000	0.6 spk/s		3815	0
348	154.10000000	0.00000000	good	4.03379297	39	400.00000000	10.8 spk/s	good	65218	0
349	154.10000000	0.00000000	good	4.03379297	39	400.00000000	0.5 spk/s	good	3047	0
350	85.30000000	2.20000000	good	5.34786797	29	300.00000000	17.1 spk/s	good	102986	0
351	85.30000000	2.20000000	good	5.34786797	29	300.00000000	0.3 spk/s	good	1635	0
